id,custom_label_0,custom_label_1,excluded_destination
51-30,20-50,online_only,"Free_local_listings,Local_inventory_ads"
201468,100-200,online_only,"Free_local_listings,Local_inventory_ads"
061967,200+,online_only,"Free_local_listings,Local_inventory_ads"
S-1,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Корона 5.5 см.,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Змія.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
ВК-4,50-100,online_only,"Free_local_listings,Local_inventory_ads"
9124,20-50,online_only,"Free_local_listings,Local_inventory_ads"
854А,50-100,online_only,"Free_local_listings,Local_inventory_ads"
49200,100-200,online_only,"Free_local_listings,Local_inventory_ads"
2005 9514,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Зелений 0.30 мм.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
180626,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Срібна,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Метелик С А,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Беж.,50-100,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-8443,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Срібна 5 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№ 100 гудзик Б,до-20,online_only,"Free_local_listings,Local_inventory_ads"
63350,100-200,online_only,"Free_local_listings,Local_inventory_ads"
158892,до-20,online_only,"Free_local_listings,Local_inventory_ads"
рожева матова,50-100,online_only,"Free_local_listings,Local_inventory_ads"
169898 пастель світла,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Ведмедик_рз,20-50,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-4000,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Бордова,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Малина,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Біла,20-50,online_only,"Free_local_listings,Local_inventory_ads"
34664,50-100,online_only,"Free_local_listings,Local_inventory_ads"
47-4,50-100,online_only,"Free_local_listings,Local_inventory_ads"
2589,100-200,online_only,"Free_local_listings,Local_inventory_ads"
G90 №10 Пастель 26 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
33472,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Бантик з серцем.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Квітка металева 5 см.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
27861,200+,online_only,"Free_local_listings,Local_inventory_ads"
№76,20-50,online_only,"Free_local_listings,Local_inventory_ads"
34-48,20-50,online_only,"Free_local_listings,Local_inventory_ads"
28151,50-100,online_only,"Free_local_listings,Local_inventory_ads"
215144,20-50,online_only,"Free_local_listings,Local_inventory_ads"
207316,до-20,online_only,"Free_local_listings,Local_inventory_ads"
9701,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Метелик,20-50,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-8167,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№12/144,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Paris,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Y-2,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№12/122,100-200,online_only,"Free_local_listings,Local_inventory_ads"
АА29-3,до-20,online_only,"Free_local_listings,Local_inventory_ads"
211320,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Крабики у баночці,до-20,online_only,"Free_local_listings,Local_inventory_ads"
35-6,до-20,online_only,"Free_local_listings,Local_inventory_ads"
40-54,до-20,online_only,"Free_local_listings,Local_inventory_ads"
27292,до-20,online_only,"Free_local_listings,Local_inventory_ads"
BB-3703,до-20,online_only,"Free_local_listings,Local_inventory_ads"
188301 зол.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
40870,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Корона 3 см.,50-100,online_only,"Free_local_listings,Local_inventory_ads"
210248,20-50,online_only,"Free_local_listings,Local_inventory_ads"
