order_id,product_id,name,sku,qty,price,total,image,partial
31926,28068,Гребінець для волосся в коробочці. Матова коричнева,,6,"98,05",588.30,https://cdn.gomw.co/d/product/5454/gfls/kd14/2025_12_11_13_30_img_4274.JPG,0
31926,28070,Гребінець для волосся в коробочці. Матова хром,,6,"98,05",588.30,https://cdn.gomw.co/d/product/uhse/2154/lksd/2025_12_11_13_31_img_4276.JPG,0
31925,26992,Гребінець для волосся.,,10,"56,18",561.80,https://cdn.gomw.co/d/product/1424/21az/sekd/dsc05214.JPG,0
31925,27554,Гребінець для волосся в коробочці. Глянець,,10,"63,07",630.70,https://cdn.gomw.co/d/product/5421/24ls/ls85/dsc06576.JPG,0
31925,27628,Гребінець для волосся в коробочці. T Teezer,,10,"71,55",715.50,https://cdn.gomw.co/d/product/ls54/azse/gfls/dsc06762.JPG,0
31925,25523,Гребінець для вичісування,,2,"53,00",106.00,https://cdn.gomw.co/d/product/gf37/az85/uh54/dsc01077.JPG,0
31925,28068,Гребінець для волосся в коробочці. Матова коричнева,,6,"98,05",588.30,https://cdn.gomw.co/d/product/5454/gfls/kd14/2025_12_11_13_30_img_4274.JPG,0
31924,26336,Пов'язка-Бандана.,,1,"332,84",332.84,https://cdn.gomw.co/d/product/sels/21zq/az37/dsc03610.JPG,0
31924,27244,Дитячий затискач для волосся. Тік-так 3 см.,,1,"119,25",119.25,https://cdn.gomw.co/d/product/gfdc/94dc/dcsd/dsc05845.JPG,0
31924,27275,Дитячий затискач для волосся. Тік-так 5.5 см.,,1,"190,80",190.80,https://cdn.gomw.co/d/product/9421/5421/uh54/dsc05923.JPG,0
31924,28233,Краби для волосся. Французький пластик-хамелеон. 6.5 см.,,1,"454,21",454.21,https://cdn.gomw.co/d/product/24kd/gf94/lk14/dsc07618.JPG,0
31924,28240,Краби для волосся. Французький пластик. 6 см.,,1,"432,48",432.48,https://cdn.gomw.co/d/product/sdkd/sd37/9494/dsc07638.JPG,0
31923,28203,Краби для волосся металеві. 3 см.,,1,"87,45",87.45,https://cdn.gomw.co/d/product/21lk/lkdc/gf94/dsc07536.JPG,0
31923,27172,Обруч із квітами.,,12,"93,28",1119.36,https://cdn.gomw.co/d/product/85uh/lsuh/kduh/dsc05685.JPG,0
31923,27902,Обручі для волосся. Матові 0.8 см.,,1,"90,10",90.10,https://cdn.gomw.co/d/product/dcuh/zqzq/lsaz/dsc07366.JPG,0
31923,28198,Краби для волосся. Французький пластик. 6 см.,,1,"528,94",528.94,https://cdn.gomw.co/d/product/3737/kd54/se14/dsc07524.JPG,0
31923,28186,Невидимки для волосся. 4 см золото,,2,"78,44",156.88,https://cdn.gomw.co/d/product/lkdc/lsdc/dcgf/img_5631.JPG,0
31922,27978,Теплі пов'язки на голову. Чалма.,,1,"490,25",490.25,https://cdn.gomw.co/d/product/se37/sdaz/21zq/dsc07442.JPG,0
31922,27857,Пов'язки для волосся. Чалма.,,1,"402,80",402.80,https://cdn.gomw.co/d/product/1485/lk37/21lk/dsc07270.JPG,0
31922,27855,Пов'язки для волосся. Чалма.,,1,"490,25",490.25,https://cdn.gomw.co/d/product/zq54/zqkd/dcdc/dsc07266.JPG,0
31922,27979,Теплі пов'язки на голову. Чалма Тедді.,,1,"672,57",672.57,https://cdn.gomw.co/d/product/5424/2114/2454/img_3795.JPG,0
31921,28137,Бантики на автоматі. кольорові с перлами,,1,"447,85",447.85,https://cdn.gomw.co/d/product/14uh/24kd/kdse/2026_02_25_17_03_img_5317.JPG,0
31921,27892,Резинки для волосся. Штучне хутро. 5 см.,,1,"107,59",107.59,https://cdn.gomw.co/d/product/lklk/kd54/gf94/dsc07342.JPG,0
31921,24373,Резинки для волосся тонкі.,,1,"71,02",71.02,https://cdn.gomw.co/d/product/2485/85kd/kd37/dsc07871.JPG,0
31921,27004,Резинки для волосся. 4 см.,,1,"112,89",112.89,https://cdn.gomw.co/d/product/kd37/uh37/94zq/dsc05243.JPG,0
31921,26067,Резинки для волосся.3.5 см.,,1,"49,29",49.29,https://cdn.gomw.co/d/product/9494/sdlk/az14/dsc02831.JPG,0
